parenttype	parentname	name	value	index	id
block	attributepractice	correct	1	-1	20
block	attributepractice	correctcount	3	-1	21
block	attributepractice	correctstreak	1	-1	22
block	attributepractice	count	1	-1	23
block	attributepractice	currentblocknumber	2	-1	27
block	attributepractice	currenttrialnumber	9	-1	37
block	attributepractice	elapsedtime	47837	-1	41
block	attributepractice	error	0	-1	50
block	attributepractice	errorcount	6	-1	51
block	attributepractice	errorstreak	0	-1	52
block	attributepractice	inwindow	0	-1	70
block	attributepractice	inwindowcount	0	-1	71
block	attributepractice	inwindowstreak	0	-1	72
block	attributepractice	latency	67	-1	92
block	attributepractice	maxlatency	3950	-1	99
block	attributepractice	meanlatency	591	-1	104
block	attributepractice	medianlatency	179	-1	107
block	attributepractice	minlatency	67	-1	110
block	attributepractice	name	attributepractice	-1	116
block	attributepractice	next		-1	119
block	attributepractice	notinwindow	1	-1	123
block	attributepractice	notinwindowcount	9	-1	124
block	attributepractice	notinwindowstreak	9	-1	125
block	attributepractice	numcorrect	3	-1	126
block	attributepractice	numinwindow	0	-1	127
block	attributepractice	percentcorrect	33	-1	137
block	attributepractice	percentinwindow	0	-1	138
block	attributepractice	recorddata	1	-1	147
block	attributepractice	response	18	-1	154
block	attributepractice	responsex	-1	-1	156
block	attributepractice	responsey	-1	-1	157
block	attributepractice	screencapture	0	-1	160
block	attributepractice	screencolor	4278190080	-1	161
block	attributepractice	screencolorblue	0	-1	162
block	attributepractice	screencolorgreen	0	-1	163
block	attributepractice	screencolorred	0	-1	164
block	attributepractice	sdlatency	1261.2173682597301649366	-1	165
block	attributepractice	selectedcount	10	-1	168
block	attributepractice	showmousecursor	0	-1	174
block	attributepractice	sumlatency	5319	-1	188
block	attributepractice	timeout	0	-1	199
block	attributepractice	totalcorrectcount	3	-1	202
block	attributepractice	totalcount	1	-1	203
block	attributepractice	totalerrorcount	6	-1	204
block	attributepractice	totalinwindowcount	0	-1	205
block	attributepractice	totalmaxlatency	3950	-1	206
block	attributepractice	totalmeanlatency	591	-1	207
block	attributepractice	totalmedianlatency	179	-1	208
block	attributepractice	totalminlatency	67	-1	209
block	attributepractice	totalnumcorrect	3	-1	211
block	attributepractice	totalnuminwindow	0	-1	212
block	attributepractice	totalpercentcorrect	33	-1	213
block	attributepractice	totalpercentinwindow	0	-1	214
block	attributepractice	totalsdlatency	1261.2173682597301649366	-1	215
block	attributepractice	totalsumlatency	5319	-1	216
block	attributepractice	totaltrialcount	9	-1	217
block	attributepractice	totalvarlatency	1590669.25	-1	218
block	attributepractice	trialcount	9	-1	220
block	attributepractice	trialscount	9	-1	222
block	attributepractice	typename	block	-1	223
block	attributepractice	unselectedcount	2	-1	224
block	attributepractice	varlatency	1590669.25	-1	226
block	attributepractice	windowcenter	0	-1	232
block	attributepractice	windowdecthreshold	0	-1	233
block	attributepractice	windowdecunit	33	-1	234
block	attributepractice	windowhitduration	0	-1	235
block	attributepractice	windowincthreshold	0	-1	236
block	attributepractice	windowincunit	33	-1	237
block	attributepractice	windowmaxcenter	0	-1	238
block	attributepractice	windowmincenter	0	-1	239
block	attributepractice	windowonset	0	-1	241
block	attributepractice	windowwidth	0	-1	242
block	compatibletest1	correct	0	-1	20
block	compatibletest1	correctcount	0	-1	21
block	compatibletest1	correctstreak	0	-1	22
block	compatibletest1	count	0	-1	23
block	compatibletest1	currentblocknumber	0	-1	27
block	compatibletest1	currenttrialnumber	0	-1	37
block	compatibletest1	elapsedtime	104695521	-1	41
block	compatibletest1	error	0	-1	50
block	compatibletest1	errorcount	0	-1	51
block	compatibletest1	errorstreak	0	-1	52
block	compatibletest1	inwindow	0	-1	70
block	compatibletest1	inwindowcount	0	-1	71
block	compatibletest1	inwindowstreak	0	-1	72
block	compatibletest1	latency	0	-1	92
block	compatibletest1	maxlatency	0	-1	99
block	compatibletest1	meanlatency	0	-1	104
block	compatibletest1	medianlatency	0	-1	107
block	compatibletest1	minlatency	0	-1	110
block	compatibletest1	name	compatibletest1	-1	116
block	compatibletest1	next		-1	119
block	compatibletest1	notinwindow	1	-1	123
block	compatibletest1	notinwindowcount	0	-1	124
block	compatibletest1	notinwindowstreak	0	-1	125
block	compatibletest1	numcorrect	0	-1	126
block	compatibletest1	numinwindow	0	-1	127
block	compatibletest1	percentcorrect	0	-1	137
block	compatibletest1	percentinwindow	0	-1	138
block	compatibletest1	recorddata	1	-1	147
block	compatibletest1	response		-1	154
block	compatibletest1	responsex	-1	-1	156
block	compatibletest1	responsey	-1	-1	157
block	compatibletest1	screencapture	0	-1	160
block	compatibletest1	screencolor	4278190080	-1	161
block	compatibletest1	screencolorblue	0	-1	162
block	compatibletest1	screencolorgreen	0	-1	163
block	compatibletest1	screencolorred	0	-1	164
block	compatibletest1	sdlatency	0	-1	165
block	compatibletest1	selectedcount	0	-1	168
block	compatibletest1	showmousecursor	0	-1	174
block	compatibletest1	sumlatency	0	-1	188
block	compatibletest1	timeout	0	-1	199
block	compatibletest1	totalcorrectcount	0	-1	202
block	compatibletest1	totalcount	0	-1	203
block	compatibletest1	totalerrorcount	0	-1	204
block	compatibletest1	totalinwindowcount	0	-1	205
block	compatibletest1	totalmaxlatency	0	-1	206
block	compatibletest1	totalmeanlatency	0	-1	207
block	compatibletest1	totalmedianlatency	0	-1	208
block	compatibletest1	totalminlatency	0	-1	209
block	compatibletest1	totalnumcorrect	0	-1	211
block	compatibletest1	totalnuminwindow	0	-1	212
block	compatibletest1	totalpercentcorrect	0	-1	213
block	compatibletest1	totalpercentinwindow	0	-1	214
block	compatibletest1	totalsdlatency	0	-1	215
block	compatibletest1	totalsumlatency	0	-1	216
block	compatibletest1	totaltrialcount	0	-1	217
block	compatibletest1	totalvarlatency	0	-1	218
block	compatibletest1	trialcount	0	-1	220
block	compatibletest1	trialscount	21	-1	222
block	compatibletest1	typename	block	-1	223
block	compatibletest1	unselectedcount	0	-1	224
block	compatibletest1	varlatency	0	-1	226
block	compatibletest1	windowcenter	0	-1	232
block	compatibletest1	windowdecthreshold	0	-1	233
block	compatibletest1	windowdecunit	33	-1	234
block	compatibletest1	windowhitduration	0	-1	235
block	compatibletest1	windowincthreshold	0	-1	236
block	compatibletest1	windowincunit	33	-1	237
block	compatibletest1	windowmaxcenter	0	-1	238
block	compatibletest1	windowmincenter	0	-1	239
block	compatibletest1	windowonset	0	-1	241
block	compatibletest1	windowwidth	0	-1	242
block	compatibletest2	correct	1	-1	20
block	compatibletest2	correctcount	21	-1	21
block	compatibletest2	correctstreak	3	-1	22
block	compatibletest2	count	1	-1	23
block	compatibletest2	currentblocknumber	7	-1	27
block	compatibletest2	currenttrialnumber	40	-1	37
block	compatibletest2	elapsedtime	12668	-1	41
block	compatibletest2	error	0	-1	50
block	compatibletest2	errorcount	19	-1	51
block	compatibletest2	errorstreak	0	-1	52
block	compatibletest2	inwindow	0	-1	70
block	compatibletest2	inwindowcount	0	-1	71
block	compatibletest2	inwindowstreak	0	-1	72
block	compatibletest2	latency	51	-1	92
block	compatibletest2	maxlatency	349	-1	99
block	compatibletest2	meanlatency	61	-1	104
block	compatibletest2	medianlatency	51	-1	107
block	compatibletest2	minlatency	19	-1	110
block	compatibletest2	name	compatibletest2	-1	116
block	compatibletest2	next		-1	119
block	compatibletest2	notinwindow	1	-1	123
block	compatibletest2	notinwindowcount	40	-1	124
block	compatibletest2	notinwindowstreak	40	-1	125
block	compatibletest2	numcorrect	21	-1	126
block	compatibletest2	numinwindow	0	-1	127
block	compatibletest2	percentcorrect	52	-1	137
block	compatibletest2	percentinwindow	0	-1	138
block	compatibletest2	recorddata	1	-1	147
block	compatibletest2	response	23	-1	154
block	compatibletest2	responsex	-1	-1	156
block	compatibletest2	responsey	-1	-1	157
block	compatibletest2	screencapture	0	-1	160
block	compatibletest2	screencolor	4278190080	-1	161
block	compatibletest2	screencolorblue	0	-1	162
block	compatibletest2	screencolorgreen	0	-1	163
block	compatibletest2	screencolorred	0	-1	164
block	compatibletest2	sdlatency	49.9040104241157820297	-1	165
block	compatibletest2	selectedcount	10	-1	168
block	compatibletest2	showmousecursor	0	-1	174
block	compatibletest2	sumlatency	2440	-1	188
block	compatibletest2	timeout	0	-1	199
block	compatibletest2	totalcorrectcount	21	-1	202
block	compatibletest2	totalcount	1	-1	203
block	compatibletest2	totalerrorcount	19	-1	204
block	compatibletest2	totalinwindowcount	0	-1	205
block	compatibletest2	totalmaxlatency	349	-1	206
block	compatibletest2	totalmeanlatency	61	-1	207
block	compatibletest2	totalmedianlatency	51	-1	208
block	compatibletest2	totalminlatency	19	-1	209
block	compatibletest2	totalnumcorrect	21	-1	211
block	compatibletest2	totalnuminwindow	0	-1	212
block	compatibletest2	totalpercentcorrect	52	-1	213
block	compatibletest2	totalpercentinwindow	0	-1	214
block	compatibletest2	totalsdlatency	49.9040104241157820297	-1	215
block	compatibletest2	totalsumlatency	2440	-1	216
block	compatibletest2	totaltrialcount	40	-1	217
block	compatibletest2	totalvarlatency	2490.4102564102563519555	-1	218
block	compatibletest2	trialcount	40	-1	220
block	compatibletest2	trialscount	40	-1	222
block	compatibletest2	typename	block	-1	223
block	compatibletest2	unselectedcount	0	-1	224
block	compatibletest2	varlatency	2490.4102564102563519555	-1	226
block	compatibletest2	windowcenter	0	-1	232
block	compatibletest2	windowdecthreshold	0	-1	233
block	compatibletest2	windowdecunit	33	-1	234
block	compatibletest2	windowhitduration	0	-1	235
block	compatibletest2	windowincthreshold	0	-1	236
block	compatibletest2	windowincunit	33	-1	237
block	compatibletest2	windowmaxcenter	0	-1	238
block	compatibletest2	windowmincenter	0	-1	239
block	compatibletest2	windowonset	0	-1	241
block	compatibletest2	windowwidth	0	-1	242
block	compatibletestinstructions	correct	1	-1	20
block	compatibletestinstructions	correctcount	1	-1	21
block	compatibletestinstructions	correctstreak	1	-1	22
block	compatibletestinstructions	count	1	-1	23
block	compatibletestinstructions	currentblocknumber	6	-1	27
block	compatibletestinstructions	currenttrialnumber	1	-1	37
block	compatibletestinstructions	elapsedtime	14741	-1	41
block	compatibletestinstructions	error	0	-1	50
block	compatibletestinstructions	errorcount	0	-1	51
block	compatibletestinstructions	errorstreak	0	-1	52
block	compatibletestinstructions	inwindow	0	-1	70
block	compatibletestinstructions	inwindowcount	0	-1	71
block	compatibletestinstructions	inwindowstreak	0	-1	72
block	compatibletestinstructions	latency	2005	-1	92
block	compatibletestinstructions	maxlatency	2005	-1	99
block	compatibletestinstructions	meanlatency	2005	-1	104
block	compatibletestinstructions	medianlatency	2005	-1	107
block	compatibletestinstructions	minlatency	2005	-1	110
block	compatibletestinstructions	name	compatibletestinstructions	-1	116
block	compatibletestinstructions	next		-1	119
block	compatibletestinstructions	notinwindow	1	-1	123
block	compatibletestinstructions	notinwindowcount	1	-1	124
block	compatibletestinstructions	notinwindowstreak	1	-1	125
block	compatibletestinstructions	numcorrect	1	-1	126
block	compatibletestinstructions	numinwindow	0	-1	127
block	compatibletestinstructions	percentcorrect	100	-1	137
block	compatibletestinstructions	percentinwindow	0	-1	138
block	compatibletestinstructions	recorddata	0	-1	147
block	compatibletestinstructions	response	57	-1	154
block	compatibletestinstructions	responsex	-1	-1	156
block	compatibletestinstructions	responsey	-1	-1	157
block	compatibletestinstructions	screencapture	0	-1	160
block	compatibletestinstructions	screencolor	4278190080	-1	161
block	compatibletestinstructions	screencolorblue	0	-1	162
block	compatibletestinstructions	screencolorgreen	0	-1	163
block	compatibletestinstructions	screencolorred	0	-1	164
block	compatibletestinstructions	sdlatency	0	-1	165
block	compatibletestinstructions	selectedcount	12	-1	168
block	compatibletestinstructions	showmousecursor	0	-1	174
block	compatibletestinstructions	sumlatency	2005	-1	188
block	compatibletestinstructions	timeout	0	-1	199
block	compatibletestinstructions	totalcorrectcount	1	-1	202
block	compatibletestinstructions	totalcount	1	-1	203
block	compatibletestinstructions	totalerrorcount	0	-1	204
block	compatibletestinstructions	totalinwindowcount	0	-1	205
block	compatibletestinstructions	totalmaxlatency	2005	-1	206
block	compatibletestinstructions	totalmeanlatency	2005	-1	207
block	compatibletestinstructions	totalmedianlatency	2005	-1	208
block	compatibletestinstructions	totalminlatency	2005	-1	209
block	compatibletestinstructions	totalnumcorrect	1	-1	211
block	compatibletestinstructions	totalnuminwindow	0	-1	212
block	compatibletestinstructions	totalpercentcorrect	100	-1	213
block	compatibletestinstructions	totalpercentinwindow	0	-1	214
block	compatibletestinstructions	totalsdlatency	0	-1	215
block	compatibletestinstructions	totalsumlatency	2005	-1	216
block	compatibletestinstructions	totaltrialcount	1	-1	217
block	compatibletestinstructions	totalvarlatency	0	-1	218
block	compatibletestinstructions	trialcount	1	-1	220
block	compatibletestinstructions	trialscount	1	-1	222
block	compatibletestinstructions	typename	block	-1	223
block	compatibletestinstructions	unselectedcount	2	-1	224
block	compatibletestinstructions	varlatency	0	-1	226
block	compatibletestinstructions	windowcenter	0	-1	232
block	compatibletestinstructions	windowdecthreshold	0	-1	233
block	compatibletestinstructions	windowdecunit	33	-1	234
block	compatibletestinstructions	windowhitduration	0	-1	235
block	compatibletestinstructions	windowincthreshold	0	-1	236
block	compatibletestinstructions	windowincunit	33	-1	237
block	compatibletestinstructions	windowmaxcenter	0	-1	238
block	compatibletestinstructions	windowmincenter	0	-1	239
block	compatibletestinstructions	windowonset	0	-1	241
block	compatibletestinstructions	windowwidth	0	-1	242
block	incompatibletest1	correct	0	-1	20
block	incompatibletest1	correctcount	0	-1	21
block	incompatibletest1	correctstreak	0	-1	22
block	incompatibletest1	count	0	-1	23
block	incompatibletest1	currentblocknumber	0	-1	27
block	incompatibletest1	currenttrialnumber	0	-1	37
block	incompatibletest1	elapsedtime	104695523	-1	41
block	incompatibletest1	error	0	-1	50
block	incompatibletest1	errorcount	0	-1	51
block	incompatibletest1	errorstreak	0	-1	52
block	incompatibletest1	inwindow	0	-1	70
block	incompatibletest1	inwindowcount	0	-1	71
block	incompatibletest1	inwindowstreak	0	-1	72
block	incompatibletest1	latency	0	-1	92
block	incompatibletest1	maxlatency	0	-1	99
block	incompatibletest1	meanlatency	0	-1	104
block	incompatibletest1	medianlatency	0	-1	107
block	incompatibletest1	minlatency	0	-1	110
block	incompatibletest1	name	incompatibletest1	-1	116
block	incompatibletest1	next		-1	119
block	incompatibletest1	notinwindow	1	-1	123
block	incompatibletest1	notinwindowcount	0	-1	124
block	incompatibletest1	notinwindowstreak	0	-1	125
block	incompatibletest1	numcorrect	0	-1	126
