parenttype	parentname	name	value	index	id
block	Consent	correct	0	-1	20
block	Consent	correctcount	0	-1	21
block	Consent	correctstreak	0	-1	22
block	Consent	count	1	-1	23
block	Consent	currentblocknumber	1	-1	27
block	Consent	currenttrialnumber	1	-1	37
block	Consent	elapsedtime	1767	-1	41
block	Consent	error	1	-1	50
block	Consent	errorcount	1	-1	51
block	Consent	errorstreak	1	-1	52
block	Consent	inwindow	0	-1	70
block	Consent	inwindowcount	0	-1	71
block	Consent	inwindowstreak	0	-1	72
block	Consent	latency	1692	-1	92
block	Consent	maxlatency	1692	-1	99
block	Consent	meanlatency	1692	-1	104
block	Consent	medianlatency	1692	-1	107
block	Consent	minlatency	1692	-1	110
block	Consent	name	Consent	-1	116
block	Consent	next		-1	119
block	Consent	notinwindow	1	-1	123
block	Consent	notinwindowcount	1	-1	124
block	Consent	notinwindowstreak	1	-1	125
block	Consent	numcorrect	0	-1	126
block	Consent	numinwindow	0	-1	127
block	Consent	percentcorrect	0	-1	137
block	Consent	percentinwindow	0	-1	138
block	Consent	recorddata	1	-1	147
block	Consent	response	agree	-1	154
block	Consent	responsex	1011	-1	156
block	Consent	responsey	619	-1	157
block	Consent	screencapture	0	-1	160
block	Consent	screencolor	4294967295	-1	161
block	Consent	screencolorblue	255	-1	162
block	Consent	screencolorgreen	255	-1	163
block	Consent	screencolorred	255	-1	164
block	Consent	sdlatency	0	-1	165
block	Consent	selectedcount	0	-1	168
block	Consent	showmousecursor	0	-1	174
block	Consent	sumlatency	1692	-1	188
block	Consent	timeout	0	-1	199
block	Consent	totalcorrectcount	0	-1	202
block	Consent	totalcount	1	-1	203
block	Consent	totalerrorcount	1	-1	204
block	Consent	totalinwindowcount	0	-1	205
block	Consent	totalmaxlatency	1692	-1	206
block	Consent	totalmeanlatency	1692	-1	207
block	Consent	totalmedianlatency	1692	-1	208
block	Consent	totalminlatency	1692	-1	209
block	Consent	totalnumcorrect	0	-1	211
block	Consent	totalnuminwindow	0	-1	212
block	Consent	totalpercentcorrect	0	-1	213
block	Consent	totalpercentinwindow	0	-1	214
block	Consent	totalsdlatency	0	-1	215
block	Consent	totalsumlatency	1692	-1	216
block	Consent	totaltrialcount	1	-1	217
block	Consent	totalvarlatency	0	-1	218
block	Consent	trialcount	1	-1	220
block	Consent	trialscount	1	-1	222
block	Consent	typename	block	-1	223
block	Consent	unselectedcount	0	-1	224
block	Consent	varlatency	0	-1	226
block	Consent	windowcenter	0	-1	232
block	Consent	windowdecthreshold	0	-1	233
block	Consent	windowdecunit	33	-1	234
block	Consent	windowhitduration	0	-1	235
block	Consent	windowincthreshold	0	-1	236
block	Consent	windowincunit	33	-1	237
block	Consent	windowmaxcenter	0	-1	238
block	Consent	windowmincenter	0	-1	239
block	Consent	windowonset	0	-1	241
block	Consent	windowwidth	0	-1	242
computer	computer	availablememory	75092	-1	4
computer	computer	countrycode	IE	-1	24
computer	computer	cpuspeed	1700	-1	25
computer	computer	language	English	-1	81
computer	computer	languagecode	en	-1	82
computer	computer	languageid	0	-1	83
computer	computer	memory	2976560	-1	108
computer	computer	os		-1	131
computer	computer	osmajorversion	10	-1	132
computer	computer	osminorversion	11	-1	133
computer	computer	platform	mac	-1	139
computer	computer	timerresolution	0.000001	-1	200
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	itemcount	1	-1	75
counter	counter	name	html_Consent_counter	-1	116
counter	counter	selectedcount	1	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
counter	counter	item	1	-1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	itemcount	0	-1	75
counter	counter	name	systembeep_systembeep_counter	-1	116
counter	counter	selectedcount	0	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	itemcount	1	-1	75
counter	counter	name	text_agree_counter	-1	116
counter	counter	selectedcount	1	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	item.1	1	1	74
counter	counter	itemcount	1	-1	75
counter	counter	name	text_disagree_counter	-1	116
counter	counter	selectedcount	1	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
data	data	encrypt	0	-1	42
data	data	encryptionkey		-1	43
data	data	file	Consent_form.iqdat	-1	53
data	data	filename	Consent_form	-1	54
data	data	fullpath	/Users/Ian/git/Relational_Complexity_Derivation/Consent_form.iqdat	-1	60
data	data	name	data	-1	116
data	data	password		-1	136
data	data	recorddata	1	-1	147
data	data	typename	data	-1	223
data	data	userid		-1	225
defaults	defaults	finishpage		-1	56
defaults	defaults	fontheight	0	-1	58
defaults	defaults	hposition	50pct	-1	65
defaults	defaults	name	defaults	-1	116
defaults	defaults	posttrialpause	0	-1	145
defaults	defaults	pretrialpause	0	-1	146
defaults	defaults	typename	defaults	-1	223
defaults	defaults	vposition	50pct	-1	229
defaults	defaults	windowcenter	0	-1	232
defaults	defaults	windowdecthreshold	0	-1	233
defaults	defaults	windowdecunit	33	-1	234
defaults	defaults	windowhitduration	0	-1	235
defaults	defaults	windowincthreshold	0	-1	236
defaults	defaults	windowincunit	33	-1	237
defaults	defaults	windowmaxcenter	0	-1	238
defaults	defaults	windowmincenter	0	-1	239
defaults	defaults	windowoffset	0	-1	240
defaults	defaults	windowonset	0	-1	241
defaults	defaults	windowwidth	0	-1	242
display	display	colordepth	32	-1	16
display	display	height	768	-1	64
display	display	refreshinterval	16	-1	148
display	display	refreshrate	60	-1	149
display	display	width	1366	-1	231
expressions	expressions	name	expressions	-1	116
expressions	expressions	typename	expressions	-1	223
html	Consent	item		-1	74
html	Consent	item.1	Consent.htm	1	74
html	Consent	currentindex	1	-1	30
html	Consent	currentitem	Consent.htm	-1	31
