parenttype	parentname	name	value	index	id
block	begin	correct	1	-1	20
block	begin	correctcount	1	-1	21
block	begin	correctstreak	1	-1	22
block	begin	count	1	-1	23
block	begin	currentblocknumber	1	-1	27
block	begin	currenttrialnumber	1	-1	37
block	begin	elapsedtime	19830	-1	41
block	begin	error	0	-1	50
block	begin	errorcount	0	-1	51
block	begin	errorstreak	0	-1	52
block	begin	inwindow	0	-1	70
block	begin	inwindowcount	0	-1	71
block	begin	inwindowstreak	0	-1	72
block	begin	latency	10705	-1	92
block	begin	maxlatency	10705	-1	99
block	begin	meanlatency	10705	-1	104
block	begin	medianlatency	10705	-1	107
block	begin	minlatency	10705	-1	110
block	begin	name	begin	-1	116
block	begin	next		-1	119
block	begin	notinwindow	1	-1	123
block	begin	notinwindowcount	1	-1	124
block	begin	notinwindowstreak	1	-1	125
block	begin	numcorrect	1	-1	126
block	begin	numinwindow	0	-1	127
block	begin	percentcorrect	100	-1	137
block	begin	percentinwindow	0	-1	138
block	begin	recorddata	1	-1	147
block	begin	response		-1	154
block	begin	responsex	952	-1	156
block	begin	responsey	494	-1	157
block	begin	screencapture	0	-1	160
block	begin	screencolor	4278190080	-1	161
block	begin	screencolorblue	0	-1	162
block	begin	screencolorgreen	0	-1	163
block	begin	screencolorred	0	-1	164
block	begin	sdlatency	0	-1	165
block	begin	selectedcount	0	-1	168
block	begin	showmousecursor	0	-1	174
block	begin	sumlatency	10705	-1	188
block	begin	timeout	0	-1	199
block	begin	totalcorrectcount	1	-1	202
block	begin	totalcount	1	-1	203
block	begin	totalerrorcount	0	-1	204
block	begin	totalinwindowcount	0	-1	205
block	begin	totalmaxlatency	10705	-1	206
block	begin	totalmeanlatency	10705	-1	207
block	begin	totalmedianlatency	10705	-1	208
block	begin	totalminlatency	10705	-1	209
block	begin	totalnumcorrect	1	-1	211
block	begin	totalnuminwindow	0	-1	212
block	begin	totalpercentcorrect	100	-1	213
block	begin	totalpercentinwindow	0	-1	214
block	begin	totalsdlatency	0	-1	215
block	begin	totalsumlatency	10705	-1	216
block	begin	totaltrialcount	1	-1	217
block	begin	totalvarlatency	0	-1	218
block	begin	trialcount	1	-1	220
block	begin	trialscount	1	-1	222
block	begin	typename	block	-1	223
block	begin	unselectedcount	0	-1	224
block	begin	varlatency	0	-1	226
block	begin	windowcenter	0	-1	232
block	begin	windowdecthreshold	0	-1	233
block	begin	windowdecunit	33	-1	234
block	begin	windowhitduration	0	-1	235
block	begin	windowincthreshold	0	-1	236
block	begin	windowincunit	33	-1	237
block	begin	windowmaxcenter	0	-1	238
block	begin	windowmincenter	0	-1	239
block	begin	windowonset	0	-1	241
block	begin	windowwidth	0	-1	242
computer	computer	availablememory	19132	-1	4
computer	computer	countrycode	IE	-1	24
computer	computer	cpuspeed	1700	-1	25
computer	computer	language	English	-1	81
computer	computer	languagecode	en	-1	82
computer	computer	languageid	0	-1	83
computer	computer	memory	2934260	-1	108
computer	computer	os		-1	131
computer	computer	osmajorversion	10	-1	132
computer	computer	osminorversion	11	-1	133
computer	computer	platform	mac	-1	139
computer	computer	timerresolution	0.000001	-1	200
counter	counter	item	1	-1	74
counter	counter	currentitem	1	-1	31
counter	counter	currentitemnumber	1	-1	32
counter	counter	item	1	-1	74
counter	counter	itemcount	0	-1	75
counter	counter	name	systembeep_systembeep_counter	-1	116
counter	counter	selectedcount	0	-1	168
counter	counter	selectedindex	1	-1	169
counter	counter	selectedvalue	1	-1	170
counter	counter	selectionmode	5	-1	171
counter	counter	selectionrate	-1	-1	172
counter	counter	typename	counter	-1	223
counter	counter	unselectedcount	0	-1	224
data	data	encrypt	0	-1	42
data	data	encryptionkey		-1	43
data	data	file	Demographics.iqdat	-1	53
data	data	filename	Demographics	-1	54
data	data	fullpath	/Users/Ian/git/Relational_Complexity_Derivation/Demographics.iqdat	-1	60
data	data	name	data	-1	116
data	data	password		-1	136
data	data	recorddata	1	-1	147
data	data	typename	data	-1	223
