parenttype	parentname	name	value	index	id
block	Derivation_Opportunities_1	correct	0	-1	20
block	Derivation_Opportunities_1	correctcount	30	-1	21
block	Derivation_Opportunities_1	correctstreak	0	-1	22
block	Derivation_Opportunities_1	count	1	-1	23
block	Derivation_Opportunities_1	currentblocknumber	1	-1	27
block	Derivation_Opportunities_1	currenttrialnumber	36	-1	37
block	Derivation_Opportunities_1	elapsedtime	201009	-1	41
block	Derivation_Opportunities_1	error	1	-1	50
block	Derivation_Opportunities_1	errorcount	6	-1	51
block	Derivation_Opportunities_1	errorstreak	3	-1	52
block	Derivation_Opportunities_1	inwindow	0	-1	70
block	Derivation_Opportunities_1	inwindowcount	0	-1	71
block	Derivation_Opportunities_1	inwindowstreak	0	-1	72
block	Derivation_Opportunities_1	latency	281	-1	92
block	Derivation_Opportunities_1	maxlatency	3729	-1	99
block	Derivation_Opportunities_1	meanlatency	973.8888888888889141526	-1	104
block	Derivation_Opportunities_1	medianlatency	882	-1	107
block	Derivation_Opportunities_1	minlatency	254	-1	110
block	Derivation_Opportunities_1	name	Derivation_Opportunities_1	-1	116
block	Derivation_Opportunities_1	next		-1	119
block	Derivation_Opportunities_1	notinwindow	1	-1	123
block	Derivation_Opportunities_1	notinwindowcount	36	-1	124
block	Derivation_Opportunities_1	notinwindowstreak	36	-1	125
block	Derivation_Opportunities_1	numcorrect	30	-1	126
block	Derivation_Opportunities_1	numinwindow	0	-1	127
block	Derivation_Opportunities_1	percentcorrect	83	-1	137
block	Derivation_Opportunities_1	percentinwindow	0	-1	138
block	Derivation_Opportunities_1	recorddata	1	-1	147
block	Derivation_Opportunities_1	response	B1_sample1	-1	154
block	Derivation_Opportunities_1	responsex	304	-1	156
block	Derivation_Opportunities_1	responsey	525	-1	157
block	Derivation_Opportunities_1	screencapture	0	-1	160
block	Derivation_Opportunities_1	screencolor	4294967295	-1	161
block	Derivation_Opportunities_1	screencolorblue	255	-1	162
block	Derivation_Opportunities_1	screencolorgreen	255	-1	163
block	Derivation_Opportunities_1	screencolorred	255	-1	164
block	Derivation_Opportunities_1	sdlatency	652.3818241217672948551	-1	165
block	Derivation_Opportunities_1	selectedcount	12	-1	168
block	Derivation_Opportunities_1	showmousecursor	0	-1	174
block	Derivation_Opportunities_1	sumlatency	35060	-1	188
block	Derivation_Opportunities_1	timeout	0	-1	199
block	Derivation_Opportunities_1	totalcorrectcount	30	-1	202
block	Derivation_Opportunities_1	totalcount	1	-1	203
block	Derivation_Opportunities_1	totalerrorcount	6	-1	204
block	Derivation_Opportunities_1	totalinwindowcount	0	-1	205
block	Derivation_Opportunities_1	totalmaxlatency	3729	-1	206
block	Derivation_Opportunities_1	totalmeanlatency	973.8888888888889141526	-1	207
block	Derivation_Opportunities_1	totalmedianlatency	882	-1	208
block	Derivation_Opportunities_1	totalminlatency	254	-1	209
block	Derivation_Opportunities_1	totalnumcorrect	30	-1	211
block	Derivation_Opportunities_1	totalnuminwindow	0	-1	212
block	Derivation_Opportunities_1	totalpercentcorrect	83	-1	213
block	Derivation_Opportunities_1	totalpercentinwindow	0	-1	214
block	Derivation_Opportunities_1	totalsdlatency	652.3818241217672948551	-1	215
block	Derivation_Opportunities_1	totalsumlatency	35060	-1	216
block	Derivation_Opportunities_1	totaltrialcount	36	-1	217
block	Derivation_Opportunities_1	totalvarlatency	425602.0444444444729015231	-1	218
block	Derivation_Opportunities_1	trialcount	36	-1	220
block	Derivation_Opportunities_1	trialscount	36	-1	222
block	Derivation_Opportunities_1	typename	block	-1	223
block	Derivation_Opportunities_1	unselectedcount	0	-1	224
block	Derivation_Opportunities_1	varlatency	425602.0444444444729015231	-1	226
block	Derivation_Opportunities_1	windowcenter	0	-1	232
block	Derivation_Opportunities_1	windowdecthreshold	0	-1	233
block	Derivation_Opportunities_1	windowdecunit	33	-1	234
block	Derivation_Opportunities_1	windowhitduration	0	-1	235
block	Derivation_Opportunities_1	windowincthreshold	0	-1	236
block	Derivation_Opportunities_1	windowincunit	33	-1	237
block	Derivation_Opportunities_1	windowmaxcenter	0	-1	238
block	Derivation_Opportunities_1	windowmincenter	0	-1	239
block	Derivation_Opportunities_1	windowonset	0	-1	241
block	Derivation_Opportunities_1	windowwidth	0	-1	242
block	Derivation_Opportunities_2	correct	1	-1	20
block	Derivation_Opportunities_2	correctcount	17	-1	21
block	Derivation_Opportunities_2	correctstreak	1	-1	22
block	Derivation_Opportunities_2	count	1	-1	23
block	Derivation_Opportunities_2	currentblocknumber	2	-1	27
block	Derivation_Opportunities_2	currenttrialnumber	36	-1	37
block	Derivation_Opportunities_2	elapsedtime	78852	-1	41
block	Derivation_Opportunities_2	error	0	-1	50
block	Derivation_Opportunities_2	errorcount	19	-1	51
block	Derivation_Opportunities_2	errorstreak	0	-1	52
block	Derivation_Opportunities_2	inwindow	0	-1	70
block	Derivation_Opportunities_2	inwindowcount	0	-1	71
block	Derivation_Opportunities_2	inwindowstreak	0	-1	72
block	Derivation_Opportunities_2	latency	495	-1	92
block	Derivation_Opportunities_2	maxlatency	6302	-1	99
block	Derivation_Opportunities_2	meanlatency	516.1111111111110858474	-1	104
block	Derivation_Opportunities_2	medianlatency	334	-1	107
block	Derivation_Opportunities_2	minlatency	77	-1	110
block	Derivation_Opportunities_2	name	Derivation_Opportunities_2	-1	116
block	Derivation_Opportunities_2	next		-1	119
block	Derivation_Opportunities_2	notinwindow	1	-1	123
block	Derivation_Opportunities_2	notinwindowcount	36	-1	124
block	Derivation_Opportunities_2	notinwindowstreak	36	-1	125
block	Derivation_Opportunities_2	numcorrect	17	-1	126
block	Derivation_Opportunities_2	numinwindow	0	-1	127
block	Derivation_Opportunities_2	percentcorrect	47	-1	137
block	Derivation_Opportunities_2	percentinwindow	0	-1	138
block	Derivation_Opportunities_2	recorddata	1	-1	147
block	Derivation_Opportunities_2	response	C1_sample1	-1	154
block	Derivation_Opportunities_2	responsex	304	-1	156
block	Derivation_Opportunities_2	responsey	525	-1	157
block	Derivation_Opportunities_2	screencapture	0	-1	160
block	Derivation_Opportunities_2	screencolor	4294967295	-1	161
block	Derivation_Opportunities_2	screencolorblue	255	-1	162
block	Derivation_Opportunities_2	screencolorgreen	255	-1	163
block	Derivation_Opportunities_2	screencolorred	255	-1	164
block	Derivation_Opportunities_2	sdlatency	1004.37109754676907869	-1	165
block	Derivation_Opportunities_2	selectedcount	12	-1	168
block	Derivation_Opportunities_2	showmousecursor	0	-1	174
block	Derivation_Opportunities_2	sumlatency	18580	-1	188
block	Derivation_Opportunities_2	timeout	0	-1	199
block	Derivation_Opportunities_2	totalcorrectcount	17	-1	202
block	Derivation_Opportunities_2	totalcount	1	-1	203
block	Derivation_Opportunities_2	totalerrorcount	19	-1	204
block	Derivation_Opportunities_2	totalinwindowcount	0	-1	205
block	Derivation_Opportunities_2	totalmaxlatency	6302	-1	206
block	Derivation_Opportunities_2	totalmeanlatency	516.1111111111110858474	-1	207
block	Derivation_Opportunities_2	totalmedianlatency	334	-1	208
block	Derivation_Opportunities_2	totalminlatency	77	-1	209
block	Derivation_Opportunities_2	totalnumcorrect	17	-1	211
block	Derivation_Opportunities_2	totalnuminwindow	0	-1	212
block	Derivation_Opportunities_2	totalpercentcorrect	47	-1	213
block	Derivation_Opportunities_2	totalpercentinwindow	0	-1	214
block	Derivation_Opportunities_2	totalsdlatency	1004.37109754676907869	-1	215
block	Derivation_Opportunities_2	totalsumlatency	18580	-1	216
block	Derivation_Opportunities_2	totaltrialcount	36	-1	217
block	Derivation_Opportunities_2	totalvarlatency	1008761.3015873015392571688	-1	218
block	Derivation_Opportunities_2	trialcount	36	-1	220
block	Derivation_Opportunities_2	trialscount	36	-1	222
block	Derivation_Opportunities_2	typename	block	-1	223
block	Derivation_Opportunities_2	unselectedcount	0	-1	224
block	Derivation_Opportunities_2	varlatency	1008761.3015873015392571688	-1	226
block	Derivation_Opportunities_2	windowcenter	0	-1	232
block	Derivation_Opportunities_2	windowdecthreshold	0	-1	233
block	Derivation_Opportunities_2	windowdecunit	33	-1	234
block	Derivation_Opportunities_2	windowhitduration	0	-1	235
block	Derivation_Opportunities_2	windowincthreshold	0	-1	236
block	Derivation_Opportunities_2	windowincunit	33	-1	237
block	Derivation_Opportunities_2	windowmaxcenter	0	-1	238
block	Derivation_Opportunities_2	windowmincenter	0	-1	239
block	Derivation_Opportunities_2	windowonset	0	-1	241
block	Derivation_Opportunities_2	windowwidth	0	-1	242
