parenttype	parentname	name	value	index	id
block	begin	correct	0	-1	20
block	begin	correctcount	0	-1	21
block	begin	correctstreak	0	-1	22
block	begin	count	0	-1	23
block	begin	currentblocknumber	0	-1	27
block	begin	currenttrialnumber	0	-1	37
block	begin	elapsedtime	105720398	-1	41
block	begin	error	0	-1	50
block	begin	errorcount	0	-1	51
block	begin	errorstreak	0	-1	52
block	begin	inwindow	0	-1	70
block	begin	inwindowcount	0	-1	71
block	begin	inwindowstreak	0	-1	72
block	begin	latency	0	-1	92
block	begin	maxlatency	0	-1	99
block	begin	meanlatency	0	-1	104
block	begin	medianlatency	0	-1	107
block	begin	minlatency	0	-1	110
block	begin	name	begin	-1	116
block	begin	next		-1	119
block	begin	notinwindow	1	-1	123
block	begin	notinwindowcount	0	-1	124
block	begin	notinwindowstreak	0	-1	125
block	begin	numcorrect	0	-1	126
block	begin	numinwindow	0	-1	127
block	begin	percentcorrect	0	-1	137
block	begin	percentinwindow	0	-1	138
block	begin	recorddata	1	-1	147
block	begin	response		-1	154
block	begin	responsex	-1	-1	156
block	begin	responsey	-1	-1	157
block	begin	screencapture	0	-1	160
block	begin	screencolor	4278190080	-1	161
block	begin	screencolorblue	0	-1	162
block	begin	screencolorgreen	0	-1	163
block	begin	screencolorred	0	-1	164
block	begin	sdlatency	0	-1	165
block	begin	selectedcount	0	-1	168
block	begin	showmousecursor	0	-1	174
block	begin	sumlatency	0	-1	188
block	begin	timeout	0	-1	199
block	begin	totalcorrectcount	0	-1	202
block	begin	totalcount	0	-1	203
block	begin	totalerrorcount	0	-1	204
block	begin	totalinwindowcount	0	-1	205
block	begin	totalmaxlatency	0	-1	206
block	begin	totalmeanlatency	0	-1	207
block	begin	totalmedianlatency	0	-1	208
block	begin	totalminlatency	0	-1	209
block	begin	totalnumcorrect	0	-1	211
block	begin	totalnuminwindow	0	-1	212
block	begin	totalpercentcorrect	0	-1	213
block	begin	totalpercentinwindow	0	-1	214
block	begin	totalsdlatency	0	-1	215
block	begin	totalsumlatency	0	-1	216
block	begin	totaltrialcount	0	-1	217
block	begin	totalvarlatency	0	-1	218
block	begin	trialcount	0	-1	220
block	begin	trialscount	1	-1	222
block	begin	typename	block	-1	223
block	begin	unselectedcount	0	-1	224
block	begin	varlatency	0	-1	226
block	begin	windowcenter	0	-1	232
block	begin	windowdecthreshold	0	-1	233
block	begin	windowdecunit	33	-1	234
block	begin	windowhitduration	0	-1	235
