parenttype	parentname	name	value	index	id
block	begin	correct	1	-1	20
block	begin	correctcount	1	-1	21
block	begin	correctstreak	1	-1	22
block	begin	count	1	-1	23
block	begin	currentblocknumber	1	-1	27
block	begin	currenttrialnumber	2	-1	37
block	begin	elapsedtime	282722	-1	41
block	begin	error	0	-1	50
block	begin	errorcount	1	-1	51
block	begin	errorstreak	0	-1	52
block	begin	inwindow	0	-1	70
block	begin	inwindowcount	0	-1	71
block	begin	inwindowstreak	0	-1	72
block	begin	latency	7888	-1	92
block	begin	maxlatency	7888	-1	99
block	begin	meanlatency	4444	-1	104
block	begin	medianlatency	4444	-1	107
block	begin	minlatency	1000	-1	110
block	begin	name	begin	-1	116
block	begin	next		-1	119
block	begin	notinwindow	1	-1	123
block	begin	notinwindowcount	2	-1	124
block	begin	notinwindowstreak	2	-1	125
block	begin	numcorrect	1	-1	126
block	begin	numinwindow	0	-1	127
block	begin	percentcorrect	50	-1	137
block	begin	percentinwindow	0	-1	138
block	begin	recorddata	1	-1	147
block	begin	response	1	-1	154
block	begin	responsex	780	-1	156
block	begin	responsey	677	-1	157
block	begin	screencapture	0	-1	160
block	begin	screencolor	4278190080	-1	161
block	begin	screencolorblue	0	-1	162
block	begin	screencolorgreen	0	-1	163
block	begin	screencolorred	0	-1	164
block	begin	sdlatency	4870.551508812939573545	-1	165
block	begin	selectedcount	1	-1	168
block	begin	showmousecursor	0	-1	174
block	begin	sumlatency	8888	-1	188
block	begin	timeout	0	-1	199
block	begin	totalcorrectcount	1	-1	202
block	begin	totalcount	1	-1	203
block	begin	totalerrorcount	1	-1	204
block	begin	totalinwindowcount	0	-1	205
block	begin	totalmaxlatency	7888	-1	206
block	begin	totalmeanlatency	4444	-1	207
block	begin	totalmedianlatency	4444	-1	208
block	begin	totalminlatency	1000	-1	209
block	begin	totalnumcorrect	1	-1	211
block	begin	totalnuminwindow	0	-1	212
block	begin	totalpercentcorrect	50	-1	213
block	begin	totalpercentinwindow	0	-1	214
block	begin	totalsdlatency	4870.551508812939573545	-1	215
block	begin	totalsumlatency	8888	-1	216
block	begin	totaltrialcount	2	-1	217
block	begin	totalvarlatency	23722272	-1	218
block	begin	trialcount	2	-1	220
block	begin	trialscount	2	-1	222
block	begin	typename	block	-1	223
block	begin	unselectedcount	0	-1	224
block	begin	varlatency	23722272	-1	226
block	begin	windowcenter	0	-1	232
block	begin	windowdecthreshold	0	-1	233
block	begin	windowdecunit	33	-1	234
block	begin	windowhitduration	0	-1	235
block	begin	windowincthreshold	0	-1	236
block	begin	windowincunit	33	-1	237
block	begin	windowmaxcenter	0	-1	238
block	begin	windowmincenter	0	-1	239
block	begin	windowonset	0	-1	241
block	begin	windowwidth	0	-1	242
block	end	correct	0	-1	20
block	end	correctcount	0	-1	21
block	end	correctstreak	0	-1	22
block	end	count	1	-1	23
block	end	currentblocknumber	3	-1	27
block	end	currenttrialnumber	0	-1	37
block	end	elapsedtime	85247	-1	41
block	end	error	0	-1	50
block	end	errorcount	0	-1	51
block	end	errorstreak	0	-1	52
block	end	inwindow	0	-1	70
block	end	inwindowcount	0	-1	71
block	end	inwindowstreak	0	-1	72
block	end	latency	0	-1	92
block	end	maxlatency	0	-1	99
block	end	meanlatency	0	-1	104
block	end	medianlatency	0	-1	107
block	end	minlatency	0	-1	110
block	end	name	end	-1	116
block	end	next	block.Relational_Training_Phase	-1	119
block	end	notinwindow	1	-1	123
block	end	notinwindowcount	0	-1	124
block	end	notinwindowstreak	0	-1	125
block	end	numcorrect	0	-1	126
block	end	numinwindow	0	-1	127
block	end	percentcorrect	0	-1	137
block	end	percentinwindow	0	-1	138
block	end	recorddata	1	-1	147
block	end	response		-1	154
block	end	responsex	-1	-1	156
block	end	responsey	-1	-1	157
block	end	screencapture	0	-1	160
block	end	screencolor	4294967295	-1	161
block	end	screencolorblue	255	-1	162
block	end	screencolorgreen	255	-1	163
block	end	screencolorred	255	-1	164
